investor,id_funding,name,sector,industry,subindustry,zip,amount,date
FreshTracks Capital,74907,Company 541180,Internet,Stealth Mode,,10010,3,4/18/2011
Baroda Ventures,80406,Company 584997,Internet,eCommerce,Discount,10014,1,1/29/2010
RRE Ventures,74907,Company 541188,Internet,Stealth Mode,,10010,3,4/18/2011
First Round Capital,80406,Company 584994,Internet,eCommerce,Discount,10014,1,1/29/2010
Zelkova Ventures,74907,Company 541187,Internet,Stealth Mode,,10010,3,4/18/2011
SoftTech VC,80406,Company 584990,Internet,eCommerce,Discount,10014,1,1/29/2010
SV Angel,80406,Company 584997,Internet,eCommerce,Discount,10014,1,1/29/2010
Accel Partners,104144,Company 541789,Internet,eCommerce,Jewelry,10003,1.1,12/17/2010
Founder Collective,104144,Company 541785,Internet,eCommerce,Jewelry,10003,1.1,12/17/2010
Lerer Ventures,104144,Company 541782,Internet,eCommerce,Jewelry,10003,1.1,12/17/2010
Lerer Ventures,77982,Company 538531,Internet,eCommerce,B2B Commerce,10012,0.6,6/21/2011
RPM Ventures,98171,Company 528516,Internet,eCommerce,Auto,10001,0.73,5/20/2010
Anduin Ventures,74907,Company 541189,Internet,Stealth Mode,,10010,3,4/18/2011
SV Angel,96946,Company 767326,Internet,Stealth Mode,,10010,1.2,4/19/2012
ff Venture Capital,74907,Company 541183,Internet,Stealth Mode,,10010,3,4/18/2011
Canaan Partners,69324,Company 512384,Internet,eCommerce,Marketplace,10016,1.1,10/26/2010
Stage 1 Ventures,66388,Company 357614,Internet,eCommerce,Events & Ticketing,10013,0.75,1/14/2010
Baroda Ventures,43300,Company 492537,Internet,Internet Software & Services,Travel,10018,0.62,1/21/2010
First Round Capital,69324,Company 512387,Internet,eCommerce,Marketplace,10016,1.1,10/26/2010
Index Ventures,69506,Company 513162,Internet,Internet Software & Services,Photo,10013,0.75,11/5/2010
First Round Capital,43300,Company 492532,Internet,Internet Software & Services,Travel,10018,0.62,1/21/2010
High Peaks Venture Partners,74907,Company 541188,Internet,Stealth Mode,,10010,3,4/18/2011
First Round Capital,99131,Company 513106,Internet,Internet Software & Services,Asset & Financial Management & Trading,10010,1.95,11/8/2010
Zelkova Ventures,43300,Company 492535,Internet,Internet Software & Services,Travel,10018,0.62,1/21/2010
IA Ventures,74907,Company 541180,Internet,Stealth Mode,,10010,3,4/18/2011
Lerer Ventures,99131,Company 513101,Internet,Internet Software & Services,Asset & Financial Management & Trading,10010,1.95,11/8/2010
Windcrest Partners,99131,Company 513108,Internet,Internet Software & Services,Asset & Financial Management & Trading,10010,1.95,11/8/2010
500 Startups,69562,Company 513371,Internet,Internet Software & Services,Asset & Financial Management & Trading,Undisclosed,Undisclosed,11/10/2010
True Ventures,102029,Company 788835,Leisure,Entertainment,Movie Theaters,10014,1.46,4/18/2011
Westwood Ventures,69597,Company 513457,Internet,eCommerce,Food & Grocery,10001,5,11/10/2010
First Round Capital,109391,Company 561510,Internet,Internet Software & Services,Website hosting,Undisclosed,0.75,4/20/2011
CommonAngels,73281,Company 513209,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10016,1.1,11/16/2010
Polaris Partners,64780,Company 496544,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,0.3,3/5/2010
General Catalyst Partners,109391,Company 561517,Internet,Internet Software & Services,Website hosting,Undisclosed,0.75,4/20/2011
Battery Ventures,96360,Company 513139,Internet,eCommerce,Other Retail,10010,2.1,11/18/2010
AfterDox Angels Investment Group,101656,Company 247749,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,3/8/2010
RRE Ventures,109391,Company 561518,Internet,Internet Software & Services,Website hosting,Undisclosed,0.75,4/20/2011
Spark Capital,64761,Company 496356,Mobile & Telecommunications,Mobile Commerce,Discount,10013,1.05,3/15/2010
Atomico,69896,Company 510124,Internet,eCommerce,Apparel & Accessories,10003,0.4,11/22/2010
Founder Collective,75006,Company 541660,Internet,Internet Software & Services,Music,10012,0.75,4/21/2011
Boston Harbor Angels,76848,Company 548251,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10012,0.3,3/15/2010
Angel Investor Forum,76790,Company 150037,Internet,eCommerce,Travel (internet),11968,Undisclosed,11/23/2010
Spark Capital,75006,Company 541669,Internet,Internet Software & Services,Music,10012,0.75,4/21/2011
Boston Harbor Angels,74079,Company 514224,Internet,Internet Software & Services,Customer Relationship Management,10013,0.28,3/17/2010
Founder Collective,69947,Company 498247,Internet,Internet Software & Services,Information Providers & Portals,10024,1.25,11/24/2010
Bain Capital Ventures,100737,Company 544239,Internet,Internet Software & Services,Social,10011,1.5,4/22/2011
THOT Capital Group,81489,Company 594565,Internet,Internet Software & Services,News & Discussion,10001,1.47,3/23/2010
Thrive Capital,69947,Company 498243,Internet,Internet Software & Services,Information Providers & Portals,10024,1.25,11/24/2010
Google Ventures,100737,Company 544231,Internet,Internet Software & Services,Social,10011,1.5,4/22/2011
LaunchCapital,43295,Company 492527,Internet,Internet Software & Services,HR & Workforce Management,10011,0.88,3/24/2010
TomorrowVentures,69947,Company 498247,Internet,Internet Software & Services,Information Providers & Portals,10024,1.25,11/24/2010
Village Ventures,75081,Company 253026,Internet,Internet Software & Services,Information Providers & Portals,10012,0.55,4/25/2011
Active Angel Investors Network,73980,Company 21584,Internet,Internet Software & Services,Advertising Network or Exchange,10001,Undisclosed,12/10/2010
Lerer Ventures,43295,Company 492521,Internet,Internet Software & Services,HR & Workforce Management,10011,0.88,3/24/2010
First Round Capital,103084,Company 789202,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10036,2,12/17/2010
Ascent Biomedical Ventures,75209,Company 542589,Healthcare,Drug Discovery,,10018,2,4/30/2011
Polaris Partners,43295,Company 492521,Internet,Internet Software & Services,HR & Workforce Management,10011,0.88,3/24/2010
FirstMark Capital,103084,Company 789209,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10036,2,12/17/2010
Thrive Capital,43295,Company 492529,Internet,Internet Software & Services,HR & Workforce Management,10011,0.88,3/24/2010
Harris & Harris Group,75209,Company 542587,Healthcare,Drug Discovery,,10018,2,4/30/2011
O'Reilly AlphaTech Ventures,103084,Company 789204,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10036,2,12/17/2010
Zelkova Ventures,43295,Company 492525,Internet,Internet Software & Services,HR & Workforce Management,10011,0.88,3/24/2010
Kima Ventures,75296,Company 542888,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,Undisclosed,0.15,5/3/2011
GSA Venture Partners,65022,Company 497339,Internet,eCommerce,Apparel & Accessories,10016,0.35,4/8/2010
Founder Collective,94792,Company 756651,Internet,Internet Software & Services,Video,10018,1,5/9/2011
Enzyme Venture Capital,64924,Company 496999,Internet,Internet Software & Services,HR & Workforce Management,10001,1,4/19/2010
Union Square Ventures,94792,Company 756658,Internet,Internet Software & Services,Video,10018,1,5/9/2011
Great Oaks Venture Capital,64924,Company 496994,Internet,Internet Software & Services,HR & Workforce Management,10001,1,4/19/2010
Sierra Ventures,75529,Company 543745,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,Undisclosed,1.5,5/10/2011
New York Angels,70842,Company 496482,Internet,Internet Software & Services,Video,10002,0.25,12/22/2010
Kima Ventures,64924,Company 496990,Internet,Internet Software & Services,HR & Workforce Management,10001,1,4/19/2010
Great Oaks Venture Capital,75627,Company 544145,Internet,eCommerce,Discount,10013,0.55,5/12/2011
ff Venture Capital,70878,Company 520147,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10012,0.6,12/23/2010
Nexus Venture Partners,64924,Company 496991,Internet,Internet Software & Services,HR & Workforce Management,10001,1,4/19/2010
Robin Hood Ventures,86015,Company 612602,Internet,Internet Software & Services,Green/Environmental,10018,Undisclosed,5/18/2011
First Round Capital,65733,Company 496545,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,1.6,5/7/2010
CommonAngels,92497,Company 520743,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,1.2,12/24/2010
First Round Capital,94868,Company 757224,Internet,Internet Software & Services,Healthcare,10007,Undisclosed,6/14/2011
Lowercase Capital,65733,Company 496549,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,1.6,5/7/2010
kbs+p Ventures,92497,Company 520740,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,1.2,12/24/2010
FirstMark Capital,94868,Company 757220,Internet,Internet Software & Services,Healthcare,10007,Undisclosed,6/14/2011
Polaris Partners,65733,Company 496544,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,1.6,5/7/2010
Neu Venture Capital,92497,Company 520741,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,1.2,12/24/2010
Greylock Partners,94868,Company 757225,Internet,Internet Software & Services,Healthcare,10007,Undisclosed,6/14/2011
RRE Ventures,69066,Company 511618,Internet,Internet Software & Services,Asset & Financial Management & Trading,10018,0.7,5/7/2010
RRE Ventures,92497,Company 520743,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,1.2,12/24/2010
Nexus Venture Partners,94868,Company 757229,Internet,Internet Software & Services,Healthcare,10007,Undisclosed,6/14/2011
Centurion Venture Partners,101163,Company 254818,Internet,Internet Software & Services,Social,10013,0.8,5/7/2010
Social Leverage,92497,Company 520749,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,1.2,12/24/2010
500 Startups,75846,Company 545327,Internet,eCommerce,Home Furnishings & Improvement,10011,0.39,6/19/2011
Founder Collective,68932,Company 498272,Internet,Internet Software & Services,Database Management,10014,0.8,5/18/2010
Windcrest Partners,71130,Company 513206,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10016,1.3,1/5/2011
Great Oaks Venture Capital,75846,Company 545323,Internet,eCommerce,Home Furnishings & Improvement,10011,0.39,6/19/2011
IA Ventures,68932,Company 498279,Internet,Internet Software & Services,Database Management,10014,0.8,5/18/2010
Accel Partners,71287,Company 523045,Internet,Internet Software & Services,Conferencing & Communication,10003,1.4,1/11/2011
Quotidian Ventures,75846,Company 545328,Internet,eCommerce,Home Furnishings & Improvement,10011,0.39,6/19/2011
Lerer Ventures,68932,Company 498270,Internet,Internet Software & Services,Database Management,10014,0.8,5/18/2010
AOL Ventures,71287,Company 523040,Internet,Internet Software & Services,Conferencing & Communication,10003,1.4,1/11/2011
Great Oaks Venture Capital,77698,Company 544145,Internet,eCommerce,Discount,10013,0.2,6/20/2011
RRE Ventures,68932,Company 498271,Internet,Internet Software & Services,Database Management,10014,0.8,5/18/2010
First Round Capital,71287,Company 523042,Internet,Internet Software & Services,Conferencing & Communication,10003,1.4,1/11/2011
Andreessen Horowitz,65539,Company 498855,Internet,Internet Software & Services,,10012,0.62,5/19/2010
NextView Ventures,71287,Company 523048,Internet,Internet Software & Services,Conferencing & Communication,10003,1.4,1/11/2011
Softbank Capital,77982,Company 538533,Internet,eCommerce,B2B Commerce,10012,0.6,6/21/2011
Founder Collective,65539,Company 498858,Internet,Internet Software & Services,,10012,0.62,5/19/2010
Golden Seeds,85989,Company 548462,Internet,Internet Software & Services,Data & Document Management,10003,0.14,1/12/2011
SV Angel,77982,Company 538535,Internet,eCommerce,B2B Commerce,10012,0.6,6/21/2011
Lerer Ventures,65539,Company 498851,Internet,Internet Software & Services,,10012,0.62,5/19/2010
Atlas Venture,71396,Company 523663,Mobile & Telecommunications,Mobile Software & Services,Travel,10012,1.5,1/14/2011
Angel Investor Forum,86000,Company 150030,Internet,eCommerce,Travel (internet),11968,Undisclosed,6/22/2011
SV Angel,65539,Company 498853,Internet,Internet Software & Services,,10012,0.62,5/19/2010
Founder Collective,71396,Company 523668,Mobile & Telecommunications,Mobile Software & Services,Travel,10012,1.5,1/14/2011
ENIAC Ventures,65666,Company 499366,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10065,0.3,5/19/2010
Gemini Israel Ventures,98121,Company 772307,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,3.2,6/22/2011
General Catalyst Partners,71396,Company 523662,Mobile & Telecommunications,Mobile Software & Services,Travel,10012,1.5,1/14/2011
Founder Collective,69065,Company 508691,Internet,Internet Software & Services,Monitoring & Security,10065,Undisclosed,5/20/2010
Founder Collective,78754,Company 581295,Internet,Internet Software & Services,Education & Training,10013,1,6/27/2011
High Line Venture Partners,71396,Company 523667,Mobile & Telecommunications,Mobile Software & Services,Travel,10012,1.5,1/14/2011
IA Ventures,69065,Company 508690,Internet,Internet Software & Services,Monitoring & Security,10065,Undisclosed,5/20/2010
IA Ventures,78754,Company 581290,Internet,Internet Software & Services,Education & Training,10013,1,6/27/2011
iNovia Capital,71396,Company 523660,Mobile & Telecommunications,Mobile Software & Services,Travel,10012,1.5,1/14/2011
Social Leverage,69065,Company 508691,Internet,Internet Software & Services,Monitoring & Security,10065,Undisclosed,5/20/2010
ENIAC Ventures,84229,Company 523437,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,1/20/2011
Shasta Ventures,78754,Company 581294,Internet,Internet Software & Services,Education & Training,10013,1,6/27/2011
Morado Venture Partners,84229,Company 523433,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,1/20/2011
Quotidian Ventures,79375,Company 584209,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,10010,0.7,7/6/2011
GSA Venture Partners,65702,Company 499538,Internet,Internet Software & Services,Real Estate,10010,0.6,5/21/2010
Spark Capital,84229,Company 523439,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,1/20/2011
First Round Capital,83255,Company 524954,Internet,eCommerce,Apparel & Accessories,10013,1.9,7/11/2011
SV Angel,84229,Company 523437,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,1/20/2011
Founder Collective,75005,Company 541668,Internet,Internet Software & Services,Music,10012,0.5,5/24/2010
Lerer Ventures,83255,Company 524953,Internet,eCommerce,Apparel & Accessories,10013,1.9,7/11/2011
Felicis Ventures,87073,Company 620831,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
Spark Capital,75005,Company 541664,Internet,Internet Software & Services,Music,10012,0.5,5/24/2010
SV Angel,83255,Company 524950,Internet,eCommerce,Apparel & Accessories,10013,1.9,7/11/2011
Founders Fund,67123,Company 503590,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10003,0.35,6/7/2010
First Round Capital,87073,Company 620830,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
Thrive Capital,83255,Company 524952,Internet,eCommerce,Apparel & Accessories,10013,1.9,7/11/2011
Floodgate,87073,Company 620833,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
Launchpad Venture Group,77086,Company 514227,Internet,Internet Software & Services,Customer Relationship Management,10013,Undisclosed,6/7/2010
Governing Dynamics Venture Capital,80173,Company 529516,Internet,Internet Software & Services,Music,10010,0.5,7/21/2011
Forerunner Ventures,87073,Company 620835,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
RRE Ventures,66248,Company 501181,Internet,Internet Software & Services,Personal & Professional Development,10065,1,6/14/2010
Boston Harbor Angels,101751,Company 598630,Internet,Internet Software & Services,Personal & Professional Development,10018,0.75,7/25/2011
Founder Collective,87073,Company 620836,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
Baroda Ventures,66106,Company 492533,Internet,Internet Software & Services,Travel,10018,0.25,6/24/2010
Boynton Angels,101751,Company 598633,Internet,Internet Software & Services,Personal & Professional Development,10018,0.75,7/25/2011
SV Angel,87073,Company 620833,Internet,eCommerce,Apparel & Accessories,Undisclosed,3.25,1/20/2011
AOL Ventures,67067,Company 503367,Internet,Internet Software & Services,Email,10013,1,7/12/2010
Kima Ventures,80417,Company 591031,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10001,0.51,7/27/2011
New York Angels,76845,Company 548213,Consumer Products & Services,Education & Training (non-internet/mobile),Colleges & Universities,Undisclosed,0.5,1/21/2011
Bowery Capital,67067,Company 503369,Internet,Internet Software & Services,Email,10013,1,7/12/2010
Lerer Ventures,80417,Company 591032,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10001,0.51,7/27/2011
A-Grade,71610,Company 525365,Internet,Internet Software & Services,Video,10017,1.5,1/25/2011
DFJ Gotham Ventures,67067,Company 503363,Internet,Internet Software & Services,Email,10013,1,7/12/2010
SV Angel,80417,Company 591032,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10001,0.51,7/27/2011
DFJ Tamir Fishman Ventures,71637,Company 525505,Software (non-internet/mobile),"Business Intelligence, Analytics & Performance Mgmt Software",,Undisclosed,2,1/26/2011
Lerer Ventures,67067,Company 503362,Internet,Internet Software & Services,Email,10013,1,7/12/2010
SV Angel,92557,Company 746372,Internet,eCommerce,Apparel & Accessories,Undisclosed,0.5,8/8/2011
Collaborative Fund,71650,Company 525603,Internet,Internet Software & Services,Education & Training,10012,0.55,1/26/2011
Metamorphic Ventures,67067,Company 503366,Internet,Internet Software & Services,Email,10013,1,7/12/2010
Founder Collective,71650,Company 525602,Internet,Internet Software & Services,Education & Training,10012,0.55,1/26/2011
IDG Capital Partners,101030,Company 591822,Internet,Internet Software & Services,Data Storage,10001,1,8/15/2011
RRE Ventures,67067,Company 503363,Internet,Internet Software & Services,Email,10013,1,7/12/2010
SV Angel,71650,Company 525603,Internet,Internet Software & Services,Education & Training,10012,0.55,1/26/2011
Battery Ventures,81467,Company 525927,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10018,1.65,8/17/2011
Thrive Capital,67067,Company 503364,Internet,Internet Software & Services,Email,10013,1,7/12/2010
Charles River Ventures,71745,Company 526109,Internet,Internet Software & Services,Travel,Undisclosed,1,2/1/2011
New Enterprise Associates,81467,Company 525928,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10018,1.65,8/17/2011
IA Ventures,69063,Company 12427,Internet,Internet Software & Services,Content Management,10010,Undisclosed,7/19/2010
StartupAngel,71745,Company 526104,Internet,Internet Software & Services,Travel,Undisclosed,1,2/1/2011
THOT Capital Group,81490,Company 594568,Internet,Internet Software & Services,News & Discussion,10001,0.4,8/17/2011
DFJ Gotham Ventures,66408,Company 501701,Mobile & Telecommunications,Mobile Software & Services,Social,10065,1.05,7/28/2010
DFJ Gotham Ventures,72128,Company 528719,Internet,eCommerce,eCommerce enablement,10016,1.53,2/13/2011
ENIAC Ventures,66408,Company 501706,Mobile & Telecommunications,Mobile Software & Services,Social,10065,1.05,7/28/2010
Kartik Hosanagar,89900,Company 596756,Internet,Internet Software & Services,"Advertising, Sales & Marketing",11201,0.64,8/19/2011
Polaris Partners,72128,Company 528714,Internet,eCommerce,eCommerce enablement,10016,1.53,2/13/2011
BOLDstart Ventures,101166,Company 594400,Mobile & Telecommunications,Mobile Software & Services,Education & Training,Undisclosed,0.8,8/22/2011
Social Leverage,72128,Company 528718,Internet,eCommerce,eCommerce enablement,10016,1.53,2/13/2011
Felicis Ventures,66408,Company 501705,Mobile & Telecommunications,Mobile Software & Services,Social,10065,1.05,7/28/2010
Learn Capital,101166,Company 594409,Mobile & Telecommunications,Mobile Software & Services,Education & Training,Undisclosed,0.8,8/22/2011
North Bridge Venture Partners,66408,Company 501709,Mobile & Telecommunications,Mobile Software & Services,Social,10065,1.05,7/28/2010
Tekton Ventures,72128,Company 528714,Internet,eCommerce,eCommerce enablement,10016,1.53,2/13/2011
Upfront Ventures,72128,Company 528712,Internet,eCommerce,eCommerce enablement,10016,1.53,2/13/2011
North Bridge Venture Partners,67472,Company 504453,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10014,0.3,8/10/2010
Lerer Ventures,101166,Company 594400,Mobile & Telecommunications,Mobile Software & Services,Education & Training,Undisclosed,0.8,8/22/2011
WGI Group,81813,Company 595930,Internet,Internet Software & Services,Search,10003,3,2/14/2011
IA Ventures,69060,Company 511604,Financial,,,10005,0.95,8/16/2010
SV Angel,101166,Company 594409,Mobile & Telecommunications,Mobile Software & Services,Education & Training,Undisclosed,0.8,8/22/2011
A-Grade,72320,Company 357614,Internet,eCommerce,Events & Ticketing,10013,Undisclosed,2/22/2011
Founder Collective,75953,Company 545797,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,11211,Undisclosed,8/18/2010
Boston Harbor Angels,81909,Company 514228,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
High Line Venture Partners,75953,Company 545794,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,11211,Undisclosed,8/18/2010
NextView Ventures,98172,Company 528512,Internet,eCommerce,Auto,10001,0.69,2/22/2011
Launchpad Venture Group,81909,Company 514225,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
SV Angel,75953,Company 545796,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,11211,Undisclosed,8/18/2010
RPM Ventures,98172,Company 528516,Internet,eCommerce,Auto,10001,0.69,2/22/2011
New York Angels,81909,Company 514220,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
Golden Seeds,73343,Company 533775,Financial,Investment Firms & Funds,,Undisclosed,0.48,8/24/2010
New York Angels,77049,Company 285421,Internet,Internet Software & Services,Domain & SEO Services,10018,0.5,2/23/2011
Race Point Capital,81909,Company 514222,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
First Round Capital,75220,Company 505489,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10009,0.85,8/25/2010
Draper Fisher Jurvetson,72531,Company 530697,Internet,Internet Software & Services,Social,10010,1,3/2/2011
TiE Angels,81909,Company 514222,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
Founder Collective,75220,Company 505481,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10009,0.85,8/25/2010
ENIAC Ventures,72531,Company 530693,Internet,Internet Software & Services,Social,10010,1,3/2/2011
Zinc Ventures,81909,Company 514225,Internet,Internet Software & Services,Customer Relationship Management,10013,1.3,8/25/2011
Lerer Ventures,75220,Company 505486,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10009,0.85,8/25/2010
General Catalyst Partners,72531,Company 530697,Internet,Internet Software & Services,Social,10010,1,3/2/2011
Compuware Ventures,82246,Company 597597,Internet,Internet Software & Services,News & Discussion,10016,1,9/1/2011
SV Angel,75220,Company 505486,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10009,0.85,8/25/2010
Softbank Capital,72531,Company 530699,Internet,Internet Software & Services,Social,10010,1,3/2/2011
Angel Investor Forum,86076,Company 593578,Internet,Internet Software & Services,Music,10016,Undisclosed,9/9/2011
Thrive Capital,75220,Company 505482,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10009,0.85,8/25/2010
500 Startups,72567,Company 530917,Internet,Internet Software & Services,Information Providers & Portals,10003,0.85,3/3/2011
Floodgate,87755,Company 12420,Internet,Internet Software & Services,Content Management,10010,0.75,9/9/2011
Hudson River Angels,92891,Company 747583,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,Undisclosed,1.15,9/6/2010
Investors Circle,72567,Company 530917,Internet,Internet Software & Services,Information Providers & Portals,10003,0.85,3/3/2011
IA Ventures,87755,Company 12426,Internet,Internet Software & Services,Content Management,10010,0.75,9/9/2011
Lerer Ventures,92891,Company 747583,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,Undisclosed,1.15,9/6/2010
Robin Hood Ventures,72567,Company 530912,Internet,Internet Software & Services,Information Providers & Portals,10003,0.85,3/3/2011
RRE Ventures,84002,Company 604805,Internet,Internet Software & Services,Photo,Undisclosed,0.75,9/11/2011
NextView Ventures,92891,Company 747581,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,Undisclosed,1.15,9/6/2010
Social Leverage,72567,Company 530913,Internet,Internet Software & Services,Information Providers & Portals,10003,0.85,3/3/2011
Softbank Capital,84002,Company 604808,Internet,Internet Software & Services,Photo,Undisclosed,0.75,9/11/2011
TomorrowVentures,72567,Company 530916,Internet,Internet Software & Services,Information Providers & Portals,10003,0.85,3/3/2011
RRE Ventures,92891,Company 747583,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,Undisclosed,1.15,9/6/2010
